NO,Solution Depth,Nodes In Memory,Max Nodes in Memory,Nodes Expanded,Optimal Solution,Real World Time
1,809,3280,3280,0,0,476033
2,11837,47584,47584,0,0,6565335
3,79909,319551,319551,0,0,32839835
4,41107,164525,164525,0,0,15914644
5,101663,406491,406491,0,0,37893736
6,73265,293023,293023,0,0,26916617
7,3579,14311,14311,0,0,1295640
8,35153,140730,140730,0,0,12742651
9,22700,90761,90761,0,0,8115950
10,34273,137244,137244,0,0,12699667

1,25796,102978,102978,0,0,13176870
2,56570,226428,226428,0,0,23129115
3,152132,608220,608220,0,0,59242114
4,425354,1700212,1700212,0,0,162247378
5,266203,1063829,1063829,0,0,108222912
6,112220,448531,448531,0,0,41445561
7,75701,302387,302387,0,0,30536864
8,546368,2183834,2183834,0,0,211639296
9,123783,494693,494693,0,0,45215519
10,84140,336692,336692,0,0,32515266

1,1591923,6362814,6362814,0,0,639726755
2,413431,1652518,1652518,0,0,162797097
3,4832891,19317473,19317473,0,0,1973178706
4,6075169,24282876,24282876,0,0,2492305695
5,1453169,5808683,5808683,0,0,586548212
6,1061144,4241584,4241584,0,0,437372439
7,653319,2611379,2611379,0,0,260480032
8,1403314,5609008,5609008,0,0,562360596
9,470395,1880050,1880050,0,0,183641956
10,983677,3931852,3931852,0,0,383445051

1,1242238,4965046,4965046,0,0,513118682
2,7679002,30690855,30690855,0,0,3036744883
3,3280373,13110641,13110641,0,0,1343067347
4,1837094,7342242,7342242,0,0,737475482
5,2279692,9111059,9111059,0,0,941992121
6,3177002,12697956,12697956,0,0,1276320992
7,1283354,5129557,5129557,0,0,531261733
8,16466812,65813826,65813826,0,0,6809759960
9,7195664,28759330,28759330,0,0,3035125844
10,7787994,31126303,31126303,0,0,3152636368

