NO,Solution Depth,Nodes In Memory,Max Nodes in Memory,Nodes Expanded,Optimal Solution,Real World Time
1,14,45,45,37791032,1,1443137759
2,14,38,38,34319085,1,1303167431
3,14,55,55,83234451,1,3137036058
4,14,47,47,60633789,1,2288650769
5,14,30,30,127431293,1,4813689863
6,14,46,46,44543747,1,1670491987
7,14,49,49,75346118,1,2836690028
8,14,38,38,41526112,1,1572074825
9,14,43,43,153464421,1,5716022716
10,14,28,28,106011617,1,4066131139

1,15,47,47,279994916,0,10512023923
2,15,33,33,179430122,0,6618836573
3,15,39,39,361727547,0,13492608625
4,15,44,44,199862368,0,7352842395
5,15,36,36,307364565,0,11339783072
6,15,43,43,184687548,0,6787071205
7,15,48,48,190462068,0,6956792123
8,15,47,47,284474911,0,10769638110
9,15,40,40,302219201,0,11088400588
10,15,38,38,157071588,0,5978844024

1,16,45,45,524355841,0,19073779830
2,16,47,47,460540299,0,17176259645
3,16,42,42,1193743459,0,42963302487
4,16,40,40,1807578735,0,65956714344
5,16,41,41,883183644,0,31819618929
6,16,43,43,728006072,0,26652212091
7,16,39,39,1014962601,0,37527513705
8,16,51,51,1163526647,0,42247692352
9,16,42,42,719695373,0,26524335571
10,16,42,42,1444256086,0,52559444457

1,17,53,53,-1895452731,0,87108733741
2,17,36,36,50207661,0,163301356284
3,17,47,47,-2061695163,0,84547132808
4,17,47,47,-302390985,0,149524584992
5,17,64,64,-1362714364,0,112705917252
6,17,50,50,-1406907124,0,106816189035
7,17,53,53,-1998848213,0,85555628592
8,17,45,45,-964352734,0,123088599715
9,17,51,51,-1649448500,0,96449181153
10,17,48,48,-282308199,0,147986411133

