NO,Solution Depth,Nodes In Memory,Max Nodes in Memory,Nodes Expanded,Optimal Solution,Real World Time
1,14,27684,27684,12827,1,5942224
2,14,27684,27684,12827,1,8574439
3,14,27684,27684,12827,1,5052147
4,14,27684,27684,12827,1,4919396
5,14,27684,27684,12827,1,5629059
6,14,27684,27684,12827,1,6134917
7,14,27684,27684,12827,1,7609216
8,14,27684,27684,12827,1,5010625
9,14,27684,27684,12827,1,4697462
10,14,27684,27684,12827,1,4708866
11,14,27684,27684,12827,1,5415898
12,14,27684,27684,12827,1,4943666
13,14,27684,27684,12827,1,4843079
14,14,27684,27684,12827,1,4622314
15,14,27684,27684,12827,1,4711204
16,14,27684,27684,12827,1,4672900
17,14,27684,27684,12827,1,4787522
18,14,27684,27684,12827,1,5915907
19,14,27684,27684,12827,1,5128464
20,14,27684,27684,12827,1,4654771
21,14,27684,27684,12827,1,4701263
22,14,27684,27684,12827,1,4608864
23,14,27684,27684,12827,1,4677286
24,14,27684,27684,12827,1,4568512
25,14,27684,27684,12827,1,4671438
26,14,27684,27684,12827,1,5709470
27,14,27684,27684,12827,1,4703310
28,14,27684,27684,12827,1,4442779
29,14,27684,27684,12827,1,4579330
30,14,27684,27684,12827,1,4512371
31,14,27684,27684,12827,1,4564126
32,14,27684,27684,12827,1,4583717
33,14,27684,27684,12827,1,4537517
34,14,27684,27684,12827,1,5371159
35,14,27684,27684,12827,1,4671146
36,14,27684,27684,12827,1,4644536
37,14,27684,27684,12827,1,4479036
38,14,27684,27684,12827,1,4661204
39,14,27684,27684,12827,1,4650092
40,14,27684,27684,12827,1,4585764
41,14,27684,27684,12827,1,4408860
42,14,27684,27684,12827,1,5247765
43,14,27684,27684,12827,1,4779627
44,14,27684,27684,12827,1,4577869
45,14,27684,27684,12827,1,5000392
46,14,27684,27684,12827,1,4802727
47,14,27684,27684,12827,1,4612664
48,14,27684,27684,12827,1,4794540
49,14,27684,27684,12827,1,4631963
50,14,27684,27684,12827,1,5278760
51,14,27684,27684,12827,1,4808575
52,14,27684,27684,12827,1,4658280
53,14,27684,27684,12827,1,4547166
54,14,27684,27684,12827,1,4572898
55,14,27684,27684,12827,1,4545997
56,14,27684,27684,12827,1,4543073
57,14,27684,27684,12827,1,4588395
58,14,27684,27684,12827,1,5272620
59,14,27684,27684,12827,1,4815886
60,14,27684,27684,12827,1,4588688
61,14,27684,27684,12827,1,4688105
62,14,27684,27684,12827,1,4572898
63,14,27684,27684,12827,1,4528745
64,14,27684,27684,12827,1,4558570
65,14,27684,27684,12827,1,4601261
66,14,27684,27684,12827,1,5519115
67,14,27684,27684,12827,1,4895127
68,14,27684,27684,12827,1,4708280
69,14,27684,27684,12827,1,4546581
70,14,27684,27684,12827,1,4704479
71,14,27684,27684,12827,1,4889278
72,14,27684,27684,12827,1,4636935
73,14,27684,27684,12827,1,4565295
74,14,27684,27684,12827,1,6134625
75,14,27684,27684,12827,1,4751849
76,14,27684,27684,12827,1,4603016
77,14,27684,27684,12827,1,4796587
78,14,27684,27684,12827,1,4722316
79,14,27684,27684,12827,1,4649800
80,14,27684,27684,12827,1,4764714
81,14,27684,27684,12827,1,4764714
82,14,27684,27684,12827,1,5378762
83,14,27684,27684,12827,1,4807698
84,14,27684,27684,12827,1,4609156
85,14,27684,27684,12827,1,4588687
86,14,27684,27684,12827,1,4681672
87,14,27684,27684,12827,1,4669976
