NO,Solution Depth,Nodes In Memory,Max Nodes in Memory,Nodes Expanded,Optimal Solution,Real World Time
1,5249,20924,20924,5249,0,2418469
2,25881,103726,103726,25881,0,10347574
3,106278,424593,424593,106278,0,37656889
4,24070,96189,96189,24070,0,7857759
5,27988,112141,112141,27988,0,9177960
6,42943,171403,171403,42943,0,15049715
7,127783,511041,511041,127783,0,44342402
8,72653,290516,290516,72653,0,26556376
9,20693,82800,82800,20693,0,7632608
10,1833,7181,7181,1833,0,609661
11,10741,43054,43054,10741,0,3548901
12,33262,133146,133146,33262,0,11192036
13,894,3579,3579,894,0,320767
14,32356,129661,129661,32356,0,10532373
15,21301,85243,85243,21301,0,7211254
16,5184,20640,20640,5184,0,1635412
17,8715,34431,34431,8715,0,2847425
18,7063,28222,28222,7063,0,2257063
19,6471,25858,25858,6471,0,2022555
20,132370,529070,529070,132370,0,48558568
21,18571,74208,74208,18571,0,6226732
22,61174,244589,244589,61174,0,21017377
23,81408,325701,325701,81408,0,28661681
24,2819,11406,11406,2819,0,966686
25,3436,13813,13813,3436,0,1099145
26,7405,29706,29706,7405,0,2398000
27,37713,150637,150637,37713,0,13828345
28,35994,144171,144171,35994,0,13053476
29,64299,256999,256999,64299,0,22194009
30,2570,10342,10342,2570,0,855865
31,91595,366301,366301,91595,0,32760885
32,47078,188109,188109,47078,0,16107045
33,14066,55951,55951,14066,0,4624361
34,40968,163985,163985,40968,0,13694425
35,30309,121209,121209,30309,0,10406640
36,11293,44736,44736,11293,0,3702120
37,24263,96862,96862,24263,0,7682024
38,20477,81829,81829,20477,0,6732883
39,6945,27991,27991,6945,0,2232793
40,35386,141791,141791,35386,0,11747018
41,46723,186458,186458,46723,0,15703529
42,25462,101798,101798,25462,0,8225602
43,609,2455,2455,609,0,216964
44,79241,316837,316837,79241,0,28227169
45,92936,371831,371831,92936,0,31905897
46,75513,301831,301831,75513,0,27286215
47,391,1593,1593,391,0,156143
48,3550,14192,14192,3550,0,1143590
49,60643,242782,242782,60643,0,21381127
50,24693,99028,99028,24693,0,8322387
51,21911,87629,87629,21911,0,7138739
52,14293,57098,57098,14293,0,4726117
53,6947,27505,27505,6947,0,2225483
54,6037,24285,24285,6037,0,1955009
55,5418,21673,21673,5418,0,1833955
56,22368,89614,89614,22368,0,8272972
57,3543,14078,14078,3543,0,1351489
58,88103,352276,352276,88103,0,31334833
59,36215,144418,144418,36215,0,13119267
60,24034,96061,96061,24034,0,8336423
61,63261,252881,252881,63261,0,21424695
62,128448,513158,513158,128448,0,44261699
63,34716,138938,138938,34716,0,11932401
64,9610,38578,38578,9610,0,3087780
65,40290,160808,160808,40290,0,14235663
66,38587,154113,154113,38587,0,12610777
67,58204,232719,232719,58204,0,20012971
68,18404,73690,73690,18404,0,6084332
69,9612,38692,38692,9612,0,3198894
70,41933,167861,167861,41933,0,14609647
71,47802,191442,191442,47802,0,15662592
72,27278,109257,109257,27278,0,8810993
73,4067,16316,16316,4067,0,1293593
74,3437,13766,13766,3437,0,1078969
75,52088,208543,208543,52088,0,17513799
76,17896,71737,71737,17896,0,5777600
77,27791,110780,110780,27791,0,8677365
78,37248,149062,149062,37248,0,13575124
79,19654,78541,78541,19654,0,6195737
80,6535,25902,25902,6535,0,2045947
81,7155,28877,28877,7155,0,2338935
82,94045,375952,375952,94045,0,32261753
83,73092,292122,292122,73092,0,26054904
84,76459,305567,305567,76459,0,27129486
85,32159,128425,128425,32159,0,10930041
86,36051,143972,143972,36051,0,12121878
87,19154,76746,76746,19154,0,6234919
88,26535,106107,106107,26535,0,8370049
89,13498,54066,54066,13498,0,4274939
90,20359,81630,81630,20359,0,6724695
91,8157,32570,32570,8157,0,2805026
92,565,2220,2220,565,0,214332
93,9913,39697,39697,9913,0,3215268
94,18382,73543,73543,18382,0,6008891
95,73973,295729,295729,73973,0,26043500
96,41560,166267,166267,41560,0,13928932
97,4048,16137,16137,4048,0,1293301
98,6571,26196,26196,6571,0,2093608
99,14790,58672,58672,14790,0,4762668
100,50649,202664,202664,50649,0,16682788
101,6970,27982,27982,6970,0,2276068
102,104923,419555,419555,104923,0,35743401
103,88916,355762,355762,88916,0,30814063
104,65296,260894,260894,65296,0,22192254
105,16059,64144,64144,16059,0,5035480
106,186493,745729,745729,186493,0,65575281
107,2284,9231,9231,2284,0,805864
108,2880,11408,11408,2880,0,916100
109,8660,34651,34651,8660,0,2844793
110,57269,228907,228907,57269,0,19803610
111,21901,87692,87692,21901,0,7220904
112,17845,70972,70972,17845,0,5774384
113,10827,43467,43467,10827,0,3482233
114,40119,160764,160764,40119,0,14019870
115,494,1953,1953,494,0,172810
116,24764,98914,98914,24764,0,8038464
117,8867,35424,35424,8867,0,2879881
118,5729,22832,22832,5729,0,1787170
119,23244,92910,92910,23244,0,8287300
120,19963,79752,79752,19963,0,6605102
121,84457,337612,337612,84457,0,29773106
122,13067,52338,52338,13067,0,4172890
123,46673,186839,186839,46673,0,16011137
124,2758,11074,11074,2758,0,925750
125,52363,209461,209461,52363,0,17923748
126,37617,150506,150506,37617,0,12306969
127,17661,70791,70791,17661,0,5950703
128,563,2232,2232,563,0,211408
129,6388,25743,25743,6388,0,2108814
130,34123,136491,136491,34123,0,11396718
131,9102,36448,36448,9102,0,3002984
132,6311,25254,25254,6311,0,2033373
133,10973,43917,43917,10973,0,3563522
134,18544,74217,74217,18544,0,6653641
135,68339,273491,273491,68339,0,23962172
136,167817,670890,670890,167817,0,60116400
137,32691,130374,130374,32691,0,10382955
138,30324,121270,121270,30324,0,10341726
139,20864,83231,83231,20864,0,6824989
140,9167,36722,36722,9167,0,3075792
141,12911,51708,51708,12911,0,4108854
142,112,481,481,112,0,38597
143,3515,14016,14016,3515,0,1099437
144,7794,31217,31217,7794,0,2474026
145,15481,61956,61956,15481,0,5453032
146,6215,24677,24677,6215,0,2049748
147,24795,98791,98791,24795,0,8142267
148,54234,216405,216405,54234,0,18412646
149,9423,37670,37670,9423,0,3152402
150,106317,425256,425256,106317,0,37047228
151,5534,22180,22180,5534,0,1787462
152,13681,54816,54816,13681,0,4609449
153,102214,408740,408740,102214,0,34501563
154,88977,355493,355493,88977,0,31671390
155,28964,115976,115976,28964,0,9959262
156,27291,108715,108715,27291,0,8910411
157,68335,273587,273587,68335,0,24345806
158,103769,414908,414908,103769,0,35761530
159,18683,74667,74667,18683,0,6569429
160,43949,175508,175508,43949,0,14497364
161,29402,117270,117270,29402,0,9989965
162,61395,245838,245838,61395,0,20155079
163,17999,71641,71641,17999,0,6693992
164,2179,8829,8829,2179,0,742997
165,51285,204683,204683,51285,0,17115838
166,18833,74868,74868,18833,0,6788732
167,33817,135344,135344,33817,0,11423912
168,41621,166302,166302,41621,0,13826298
169,52336,209465,209465,52336,0,17133966
170,6735,26887,26887,6735,0,2139808
171,98427,393557,393557,98427,0,33841316
172,101504,405743,405743,101504,0,34460627
173,34757,139226,139226,34757,0,11504907
174,16149,64699,64699,16149,0,5214432
175,113,473,473,113,0,46785
176,38591,154540,154540,38591,0,13144121
177,43406,173400,173400,43406,0,14967841
178,20188,80343,80343,20188,0,6837563
179,75897,303286,303286,75897,0,25575070
180,39469,157968,157968,39469,0,13228041
181,60994,243612,243612,60994,0,20754799
182,26266,105144,105144,26266,0,8406600
183,14557,57941,57941,14557,0,4909454
184,71805,287015,287015,71805,0,25147869
185,63574,254365,254365,63574,0,21228492
186,70927,283424,283424,70927,0,25227402
187,27985,112003,112003,27985,0,9734696
188,55927,223447,223447,55927,0,18504461
189,5333,21337,21337,5333,0,1924600
190,63699,254626,254626,63699,0,21148081
191,11939,47867,47867,11939,0,4309735
192,68051,271939,271939,68051,0,23728542
193,40143,160373,160373,40143,0,13291785
194,56679,226508,226508,56679,0,19502727
195,8041,32216,32216,8041,0,2532506
196,38043,152077,152077,38043,0,12438843
197,48979,195911,195911,48979,0,16584540
198,90219,360728,360728,90219,0,31145940
199,614,2432,2432,614,0,227198
200,926,3755,3755,926,0,276614
201,12883,51638,51638,12883,0,4149205
202,2933,11875,11875,2933,0,971364
203,64847,259237,259237,64847,0,22378515
204,17338,69248,69248,17338,0,5889883
205,24647,98751,98751,24647,0,7678223
206,93111,372388,372388,93111,0,31795369
207,69549,277969,277969,69549,0,24540547
208,2984,11809,11809,2984,0,995049
209,97432,389534,389534,97432,0,33590726
210,6843,27270,27270,6843,0,2134546
211,16117,64406,64406,16117,0,5083434
212,13991,55997,55997,13991,0,4540442
213,18618,74356,74356,18618,0,6140473
214,45849,183616,183616,45849,0,15666978
215,10874,43451,43451,10874,0,3411471
216,9703,38948,38948,9703,0,3174625
217,49616,198695,198695,49616,0,17188646
218,69609,278196,278196,69609,0,24002524
219,799,3187,3187,799,0,290064
220,2282,9227,9227,2282,0,764927
221,25431,101808,101808,25431,0,8218584
222,80699,323017,323017,80699,0,28278632
223,4793,19143,19143,4793,0,1564651
224,49111,196649,196649,49111,0,16731619
225,3795,14928,14928,3795,0,1176339
226,19037,76162,76162,19037,0,6019418
227,13187,52853,52853,13187,0,4113532
228,25064,100341,100341,25064,0,8598416
229,15659,62649,62649,15659,0,4943081
230,2691,10831,10831,2691,0,941540
231,122195,488826,488826,122195,0,41656092
232,33953,135365,135365,33953,0,11578300
233,27953,111727,111727,27953,0,8925616
234,45151,180275,180275,45151,0,15728091
235,115834,463129,463129,115834,0,40033545
236,26415,105659,105659,26415,0,8516251
237,14651,58672,58672,14651,0,4750094
238,5490,22048,22048,5490,0,1838633
239,9035,36000,36000,9035,0,2879589
240,78133,312749,312749,78133,0,27685639
241,75964,303927,303927,75964,0,26655209
242,37331,149121,149121,37331,0,12617794
243,9641,38556,38556,9641,0,3095091
244,20657,82641,82641,20657,0,6297494
245,6291,25114,25114,6291,0,2134545
246,10915,43315,43315,10915,0,3963821
247,1317,5266,5266,1317,0,377786
248,27533,109809,109809,27533,0,8854562
249,22989,91898,91898,22989,0,7347514
250,87827,351107,351107,87827,0,30822543
251,573,2282,2282,573,0,219595
252,52230,209015,209015,52230,0,17562630
253,8683,34831,34831,8683,0,2824618
