NO,Solution Depth,Nodes In Memory,Max Nodes in Memory,Nodes Expanded,Optimal Solution,Real World Time
1,14,5719068,5719065,2557649,1,604537166
2,14,5719068,5719065,2557649,1,600399949
3,14,5719068,5719065,2557649,1,599975380
4,14,5719068,5719065,2557649,1,594587261
5,14,5719068,5719065,2557649,1,595801320
6,14,5719068,5719065,2557649,1,594070291
7,14,5719068,5719065,2557649,1,596322967
8,14,5719068,5719065,2557649,1,597184388
9,14,5719068,5719065,2557649,1,594360064
10,14,5719068,5719065,2557649,1,592500962

1,15,26442289,26442286,10761800,0,2972515243
2,15,26442289,26442286,10761800,0,3024022992
3,15,26442289,26442286,10761800,0,3006541650
4,15,26442289,26442286,10761800,0,3028809637
5,15,26442289,26442286,10761800,0,3040811630
6,15,26442289,26442286,10761800,0,2973404442
7,15,26442289,26442286,10761800,0,2971161999
8,15,26442289,26442286,10761800,0,2978320622
9,15,26442289,26442286,10761800,0,3016369624
10,15,26442289,26442286,10761800,0,2971721952

1,16,102071251,102071248,39246336,0,11988045668
2,16,102071251,102071248,39246336,0,13135398014
3,16,102071251,102071248,39246336,0,12869831037
4,16,102071251,102071248,39246336,0,13188702290
5,16,102071251,102071248,39246336,0,13076682811
6,16,102071251,102071248,39246336,0,13136161480
7,16,102071251,102071248,39246336,0,13239574939
8,16,102071251,102071248,39246336,0,13853749431
9,16,102071251,102071248,39246336,0,13856798615
10,16,102071251,102071248,39246336,0,13694752995

