NO,Solution Depth,Nodes In Memory,Max Nodes in Memory,Nodes Expanded,Optimal Solution,Real World Time
1,36337,145581,145581,48573,0,19098040
2,2084,8262,8262,2767,0,946218
3,14945,59851,59851,20019,0,5546894
4,2541,10261,10261,3407,0,861713
5,32701,130488,130488,43541,0,12028017
6,105621,422375,422375,140945,0,38651353
7,36641,146549,146549,48893,0,14033027
8,9513,38037,38037,12646,0,3590422
9,14497,58042,58042,19337,0,5567362
10,16129,64565,64565,21537,0,5359464

1,433966,1734382,1734382,542350,0,182790185
2,40253,161146,161146,50362,0,16186287
3,41854,167532,167532,52368,0,16775187
4,262514,1049502,1049502,328110,0,109164451
5,9786,39209,39209,12241,0,3694810
6,205132,819893,819893,256384,0,82659539
7,185159,739977,739977,231348,0,74254400
8,118456,473395,473395,148049,0,46603558
9,58719,234471,234471,73353,0,24461013
10,83491,333673,333673,104416,0,34565892

1,81261,324717,324717,97466,0,42218384
2,452955,1810669,1810669,543614,0,184705135
3,7409469,29615812,29615812,8891162,0,2965159541
4,962555,3847325,3847325,1155046,0,388367956
5,1253401,5009687,5009687,1504049,0,513515766
6,383579,1532940,1532940,460251,0,153161232
7,1543203,6168073,6168073,1851809,0,618164338
8,122368,489177,489177,146803,0,47835747
9,275567,1101006,1101006,330592,0,114186188
10,1583035,6327101,6327101,1899555,0,638501585



1,1444720,5774317,5774317,1685520,0,658081506
2,3030505,12112129,12112129,3535593,0,1316719747
3,726300,2903093,2903093,847407,0,326051512
4,2826116,11295409,11295409,3297149,0,1268117319
5,4808513,19218221,19218221,5609801,0,2188877732
6,373892,1494538,1494538,436250,0,169214183
7,404647,1616889,1616889,472091,0,181027284
8,3594430,14366042,14366042,4193496,0,1588495619
9,3452025,13797175,13797175,4027424,0,1556496738
10,3255501,13011528,13011528,3798150,0,1456927506

