NO,Solution Depth,Nodes In Memory,Max Nodes in Memory,Nodes Expanded,Optimal Solution,Real World Time
1,14,40,40,67475235,1,2426017243
2,14,35,35,86294102,1,3166668226
3,14,36,36,66235159,1,2387421446
4,14,38,38,75879829,1,2842787225
5,14,36,36,36313045,1,1323316078
6,14,43,43,82768901,1,3011718654
7,14,30,30,38972041,1,1430160308
8,14,45,45,53053224,1,1886082530
9,14,42,42,76909706,1,2812174628
10,14,39,39,89676292,1,3306120122

1,15,46,46,199707129,0,7362140242
2,15,33,33,185806747,0,6830958919
3,15,51,51,159402766,0,5644598197
4,15,42,42,296054974,0,10979473569
5,15,45,45,175971152,0,6420214203
6,15,57,57,200610325,0,7339959976
7,15,55,55,156165961,0,6336939740
8,15,41,41,434001770,0,15779235669
9,15,47,47,261810097,0,9601301722
10,15,35,35,234016731,0,8521012114

1,16,41,41,778808237,0,29383790087
2,16,49,49,835891711,0,30958949769
3,16,44,44,794423621,0,29111915676
4,16,40,40,1195933065,0,43411817837
5,16,58,58,1220775877,0,45021876459
6,16,41,41,769427382,0,27773124144
7,16,48,48,903537162,0,32770583158
8,16,45,45,963997192,0,34964878541
9,16,58,58,1036717118,0,37864111626
10,16,41,41,1154588198,0,41890393142

1,17,47,47,3644914773,0,138360616527
2,17,43,43,3680307216,0,141204965771
3,17,51,51,2988121046,0,114523494620
4,17,47,47,5656353184,0,214029062859
5,17,46,46,3478095633,0,132595074405
6,17,57,57,3573828862,0,138161266365
7,17,47,47,3651023322,0,136442080428
8,17,52,52,3159624778,0,120293118109
9,17,55,55,2851115719,0,107602286830
10,17,41,41,5990746799,0,227088866387

