NO,Solution Depth,Nodes In Memory,Max Nodes in Memory,Nodes Expanded,Optimal Solution,Real World Time
1,14,27684,27684,12827,1,6361248
2,14,27684,27684,12827,1,7936136
3,14,27684,27684,12827,1,6160367
4,14,27684,27684,12827,1,4819402
5,14,27684,27684,12827,1,4754781
6,14,27684,27684,12827,1,5011805
7,14,27684,27684,12827,1,5697199
8,14,27684,27684,12827,1,4698054
9,14,27684,27684,12827,1,4822912
10,14,27684,27684,12827,1,5819716

1,15,252947,252947,108414,0,67219876
2,15,252947,252947,108414,0,64891170
3,15,252947,252947,108414,0,62983234
4,15,252947,252947,108414,0,61106585
5,15,252947,252947,108414,0,63834130
6,15,252947,252947,108414,0,62764808
7,15,252947,252947,108414,0,61749289
8,15,252947,252947,108414,0,63168911
9,15,252947,252947,108414,0,62103975
10,15,252947,252947,108414,0,61268285

1,16,923416,923416,366186,0,273169361
2,16,923416,923416,366186,0,262511528
3,16,923416,923416,366186,0,264596661
4,16,923416,923416,366186,0,263160081
5,16,923416,923416,366186,0,261178458
6,16,923416,923416,366186,0,260517918
7,16,923416,923416,366186,0,259281049
8,16,923416,923416,366186,0,258532202
9,16,923416,923416,366186,0,261177288
10,16,923416,923416,366186,0,260541602

1,17,3444688,3444688,1312510,0,1181651299
2,17,3444688,3444688,1312510,0,1170367722
3,17,3444688,3444688,1312510,0,1169539048
4,17,3444688,3444688,1312510,0,1170375032
5,17,3444688,3444688,1312510,0,1172850816
6,17,3444688,3444688,1312510,0,1175185954
7,17,3444688,3444688,1312510,0,1177201495
8,17,3444688,3444688,1312510,0,1172850231
9,17,3444688,3444688,1312510,0,1179301540
10,17,3444688,3444688,1312510,0,1173645278

1,18,13821120,13821120,5135565,0,6308149358
2,18,13821120,13821120,5135565,0,6181736096
3,18,13821120,13821120,5135565,0,6149231006
4,18,13821120,13821120,5135565,0,6154539601
5,18,13821120,13821120,5135565,0,6190585995
6,18,13821120,13821120,5135565,0,6154905106
7,18,13821120,13821120,5135565,0,6158930631
8,18,13821120,13821120,5135565,0,6145389988
9,18,13821120,13821120,5135565,0,6179634881
10,18,13821120,13821120,5135565,0,6172358993

1,19,48146622,48146622,17640431,0,26847880627
2,19,48146622,48146622,17640431,0,26836105810
3,19,48146622,48146622,17640431,0,26758317870
4,19,48146622,48146622,17640431,0,26752016564
5,19,48146622,48146622,17640431,0,26839422549
6,19,48146622,48146622,17640431,0,26787311772
7,19,48146622,48146622,17640431,0,26905972234
8,19,48146622,48146622,17640431,0,26598414995
9,19,48146622,48146622,17640431,0,26764122382
10,19,48146622,48146622,17640431,0,26655260669

