NO,Solution Depth,Nodes In Memory,Max Nodes in Memory,Nodes Expanded,Optimal Solution,Real World Time
1,14,5719068,5719065,2557649,1,607960041
2,14,5719068,5719065,2557649,1,597421235
3,14,5719068,5719065,2557649,1,586407566
4,14,5719068,5719065,2557649,1,590909410
5,14,5719068,5719065,2557649,1,588888317
6,14,5719068,5719065,2557649,1,589614647
7,14,5719068,5719065,2557649,1,589309086
8,14,5719068,5719065,2557649,1,590552970
9,14,5719068,5719065,2557649,1,587723674
10,14,5719068,5719065,2557649,1,589764650
11,14,5719068,5719065,2557649,1,590773442
12,14,5719068,5719065,2557649,1,591606208
13,14,5719068,5719065,2557649,1,589430726
14,14,5719068,5719065,2557649,1,588123390
15,14,5719068,5719065,2557649,1,589743597
16,14,5719068,5719065,2557649,1,587691217
17,14,5719068,5719065,2557649,1,590662329
18,14,5719068,5719065,2557649,1,591532521
19,14,5719068,5719065,2557649,1,587104364
20,14,5719068,5719065,2557649,1,582051339
21,14,5719068,5719065,2557649,1,580062995
22,14,5719068,5719065,2557649,1,588040055
23,14,5719068,5719065,2557649,1,584313957
24,14,5719068,5719065,2557649,1,595465933
25,14,5719068,5719065,2557649,1,579612987
26,14,5719068,5719065,2557649,1,579770885
27,14,5719068,5719065,2557649,1,581653086
28,14,5719068,5719065,2557649,1,590101499
29,14,5719068,5719065,2557649,1,581734081
30,14,5719068,5719065,2557649,1,579180814
31,14,5719068,5719065,2557649,1,580549555
32,14,5719068,5719065,2557649,1,579627022
33,14,5719068,5719065,2557649,1,581004242
34,14,5719068,5719065,2557649,1,580035217
35,14,5719068,5719065,2557649,1,578788116
36,14,5719068,5719065,2557649,1,581896658
37,14,5719068,5719065,2557649,1,581123835
38,14,5719068,5719065,2557649,1,580662130
39,14,5719068,5719065,2557649,1,577819968
40,14,5719068,5719065,2557649,1,579445147
41,14,5719068,5719065,2557649,1,578650395
42,14,5719068,5719065,2557649,1,585311345
43,14,5719068,5719065,2557649,1,578949815
44,14,5719068,5719065,2557649,1,580627919
45,14,5719068,5719065,2557649,1,596484374
46,14,5719068,5719065,2557649,1,590804145
47,14,5719068,5719065,2557649,1,579137831
48,14,5719068,5719065,2557649,1,576788369
49,14,5719068,5719065,2557649,1,595051597
50,14,5719068,5719065,2557649,1,578777882
51,14,5719068,5719065,2557649,1,580187851
52,14,5719068,5719065,2557649,1,579787259
53,14,5719068,5719065,2557649,1,577355340
54,14,5719068,5719065,2557649,1,579309472
55,14,5719068,5719065,2557649,1,578703027
56,14,5719068,5719065,2557649,1,579807143
57,14,5719068,5719065,2557649,1,577744528
58,14,5719068,5719065,2557649,1,585065726
59,14,5719068,5719065,2557649,1,577592186
60,14,5719068,5719065,2557649,1,579410643
61,14,5719068,5719065,2557649,1,579128474
62,14,5719068,5719065,2557649,1,577380194
63,14,5719068,5719065,2557649,1,581633494
64,14,5719068,5719065,2557649,1,579628484
65,14,5719068,5719065,2557649,1,578480508
66,14,5719068,5719065,2557649,1,592784593
67,14,5719068,5719065,2557649,1,594757439
68,14,5719068,5719065,2557649,1,594879664
69,14,5719068,5719065,2557649,1,580848392
70,14,5719068,5719065,2557649,1,578288399
71,14,5719068,5719065,2557649,1,578758876
72,14,5719068,5719065,2557649,1,578942797
73,14,5719068,5719065,2557649,1,578593960
74,14,5719068,5719065,2557649,1,581756597
75,14,5719068,5719065,2557649,1,576867902
76,14,5719068,5719065,2557649,1,577959445
77,14,5719068,5719065,2557649,1,579936677
78,14,5719068,5719065,2557649,1,579461813
79,14,5719068,5719065,2557649,1,579818838
80,14,5719068,5719065,2557649,1,576317014
81,14,5719068,5719065,2557649,1,578908879
82,14,5719068,5719065,2557649,1,576896850
83,14,5719068,5719065,2557649,1,577320835
84,14,5719068,5719065,2557649,1,577683708
85,14,5719068,5719065,2557649,1,578024066
86,14,5719068,5719065,2557649,1,575764665
87,14,5719068,5719065,2557649,1,573898545
88,14,5719068,5719065,2557649,1,595122651
89,14,5719068,5719065,2557649,1,574979854
90,14,5719068,5719065,2557649,1,575833964
91,14,5719068,5719065,2557649,1,574623414
92,14,5719068,5719065,2557649,1,576559417
93,14,5719068,5719065,2557649,1,577113521
94,14,5719068,5719065,2557649,1,574226037
95,14,5719068,5719065,2557649,1,575233952
96,14,5719068,5719065,2557649,1,573626610
97,14,5719068,5719065,2557649,1,574649437
98,14,5719068,5719065,2557649,1,573873106
99,14,5719068,5719065,2557649,1,574301185
100,14,5719068,5719065,2557649,1,575029562
101,14,5719068,5719065,2557649,1,574850027
102,14,5719068,5719065,2557649,1,575128102
103,14,5719068,5719065,2557649,1,574695345
104,14,5719068,5719065,2557649,1,574138609
105,14,5719068,5719065,2557649,1,580614176
106,14,5719068,5719065,2557649,1,574228084
107,14,5719068,5719065,2557649,1,572507289
108,14,5719068,5719065,2557649,1,577046854
109,14,5719068,5719065,2557649,1,598140840
110,14,5719068,5719065,2557649,1,572948527
111,14,5719068,5719065,2557649,1,571533293
112,14,5719068,5719065,2557649,1,571258726
113,14,5719068,5719065,2557649,1,572453780
114,14,5719068,5719065,2557649,1,572597057
115,14,5719068,5719065,2557649,1,584573319
116,14,5719068,5719065,2557649,1,577359725
