NO,Solution Depth,Nodes In Memory,Max Nodes in Memory,Nodes Expanded,Optimal Solution,Real World Time
1,14,35,35,109104743,1,4003284276
2,14,48,48,40404595,1,1477472651
3,14,44,44,70561227,1,2621524346
4,14,29,29,54444752,1,1952324198
5,14,31,31,58619406,1,2077413820
6,14,40,40,65132745,1,2373936090
7,14,43,43,55072456,1,2007610970
8,14,39,39,82639289,1,2960076984
9,14,46,46,71125918,1,2593743092
10,14,27,27,59900742,1,2145708160
11,14,38,38,85194250,1,3081414485
12,14,38,38,40649381,1,1459976982
13,14,34,34,62809520,1,2304848459
14,14,36,36,57413583,1,2061776375
15,14,35,35,67143443,1,2370883105
16,14,36,36,53575547,1,1950466266
17,14,40,40,71043944,1,2612139364
18,14,44,44,71970362,1,2633198555
19,14,37,37,68981868,1,2510587345
20,14,33,33,73447960,1,2684958648
21,14,25,25,44568927,1,1625295767
22,14,38,38,85118254,1,3108975559
23,14,23,23,67913181,1,2429127538
24,14,39,39,54108841,1,1979184674
25,14,39,39,74828607,1,2704347630
26,14,34,34,63604464,1,2316210673
27,14,49,49,71298510,1,2601537107
28,14,38,38,62131946,1,2240027579
29,14,44,44,32086932,1,1152219694
30,14,47,47,92099600,1,3420828250
31,14,38,38,76060818,1,2801435526
32,14,43,43,98261103,1,3527523646
33,14,33,33,48667765,1,1774636747
34,14,30,30,69120558,1,2490679347
35,14,40,40,110289737,1,4019472025
36,14,32,32,69220035,1,2535982002
37,14,30,30,39016729,1,1491285500
38,14,41,41,48761261,1,1750832473
39,14,49,49,55777012,1,2052439055
40,14,39,39,99160283,1,3741298657
41,14,45,45,71579538,1,2627850788
42,14,44,44,84512192,1,3200581766
43,14,46,46,59262167,1,2157651673
44,14,38,38,56895751,1,2079027302
45,14,42,42,35910226,1,1291594686
46,14,37,37,41759176,1,1508405723
47,14,48,48,98615655,1,3631094419
48,14,32,32,88432732,1,3206161701
49,14,48,48,84675009,1,3088449127
50,14,44,44,54002561,1,1958315838
51,14,49,49,25287604,1,914625203
52,14,28,28,64596172,1,2308590931
53,14,57,57,51727100,1,1868133928
54,14,32,32,60756076,1,2230020071
55,14,35,35,80656871,1,2877573005
56,14,45,45,37845324,1,1361664793
57,14,37,37,32905461,1,1161560814
58,14,43,43,62682594,1,2296837189
59,14,43,43,30999260,1,1134472264
60,14,49,49,66136926,1,2419313308
61,14,32,32,48318609,1,1746643209
62,14,41,41,85570890,1,3201415408
63,14,41,41,79508270,1,2962283461
64,14,46,46,48813407,1,1748676874
65,14,34,34,42455697,1,1533139547
66,14,45,45,74442542,1,2691782468
67,14,37,37,48817868,1,1762470716
68,14,41,41,65384395,1,2341724338
69,14,38,38,42701072,1,1547170236
70,14,51,51,63766666,1,2316237574
71,14,42,42,27807431,1,1008894621
72,14,48,48,79139552,1,2912143283
73,14,42,42,61673925,1,2305630054
74,14,30,30,63830315,1,2277037087
75,14,36,36,32971809,1,1210323188
76,14,47,47,54747887,1,1955324258
77,14,46,46,46361638,1,1719954081
78,14,46,46,56879879,1,2050331995
79,14,42,42,42483703,1,1584302553
80,14,45,45,68651128,1,2525959581
81,14,35,35,72827408,1,2653267083
82,14,39,39,75086019,1,2767476956
83,14,36,36,50831933,1,1806859610
84,14,38,38,31756291,1,1164558535
85,14,35,35,126922650,1,4644399655
86,14,44,44,60384157,1,2222173716
87,14,39,39,68371476,1,2435766851
88,14,39,39,19718645,1,699385543
89,14,49,49,147669115,1,5353619019
90,14,33,33,45961101,1,1709247728
91,14,32,32,33995828,1,1201592020
92,14,32,32,88043750,1,3203477438
93,14,41,41,70648008,1,2547583403
94,14,53,53,55250072,1,1985433336
95,14,30,30,114886285,1,4154913899
96,14,32,32,66529352,1,2430100949
97,14,31,31,69334361,1,2502978714
98,14,37,37,33720139,1,1220597369
99,14,44,44,49803337,1,1813982851
100,14,53,53,31904213,1,1156615395
101,14,40,40,58741209,1,2102619877
102,14,29,29,94459259,1,3435409827
103,14,41,41,43694837,1,1595356575
104,14,34,34,43255297,1,1559725749
105,14,44,44,95633097,1,3480233233
106,14,41,41,48079627,1,1728865955
107,14,26,26,80483831,1,2865392060
108,14,36,36,69522369,1,2552844326
109,14,59,59,160388569,1,5848156922
110,14,57,57,62098600,1,2264608770
111,14,47,47,48741606,1,1784495130
112,14,50,50,67512242,1,2482265437
113,14,43,43,81880557,1,3009415392
114,14,33,33,27309493,1,970181864
115,14,38,38,75808232,1,2785916796
116,14,46,46,71125515,1,2563288978
117,14,33,33,59356442,1,2116773960
118,14,51,51,42431145,1,1501580148
119,14,44,44,74029414,1,2665436330
120,14,45,45,84211090,1,2972545653
121,14,29,29,41077944,1,1485754980
122,14,55,55,78370334,1,2842412656
123,14,47,47,41955529,1,1527244986
124,14,46,46,51150069,1,1851154643
125,14,39,39,63684124,1,2263444127
126,14,37,37,76412876,1,2725137810
127,14,51,51,96383252,1,3497650246
128,14,42,42,45456670,1,1636486924
129,14,40,40,42102683,1,1502302970
130,14,52,52,133913100,1,4923204321
131,14,58,58,95527346,1,3407405469
132,14,47,47,39191020,1,1460130201
133,14,42,42,46452899,1,1665883415
134,14,38,38,47701134,1,1738680769
135,14,43,43,83418345,1,2978987009
136,14,36,36,58430945,1,2122013830
137,14,40,40,57736742,1,2102059632
138,14,44,44,47608578,1,1716521557
139,14,51,51,62401646,1,2257013882
140,14,41,41,61322504,1,2175610802
141,14,37,37,87984923,1,3256837563
142,14,38,38,24662866,1,900465857
143,14,38,38,56568528,1,2066795188
144,14,46,46,54188018,1,1999339753
145,14,31,31,69400340,1,2517621110
146,14,34,34,65023974,1,2316449567
147,14,40,40,40095465,1,1432595736
148,14,33,33,87102971,1,3116819282
149,14,48,48,68154724,1,2443770520
150,14,33,33,123899030,1,4480674177
151,14,40,40,115046324,1,4055164840
152,14,40,40,56922651,1,2031854142
153,14,33,33,70908832,1,2548781964
154,14,49,49,60438959,1,2225457114
155,14,42,42,55540371,1,2128740864
156,14,39,39,46685116,1,1673280345
157,14,53,53,70044411,1,2553979436
158,14,31,31,44417006,1,1600149944
159,14,35,35,57774518,1,2127053111
160,14,35,35,49066578,1,1799548062
161,14,38,38,48362681,1,1800730833
162,14,38,38,53848019,1,2034544254
163,14,49,49,44477137,1,1619046519
164,14,35,35,126689386,1,4782239530
165,14,36,36,69499023,1,2487184833
166,14,31,31,42901356,1,1547588666
167,14,48,48,79695980,1,2824939502
168,14,42,42,72023471,1,2634126936
169,14,43,43,33206405,1,1253048891
170,14,33,33,61957085,1,2261745263
171,14,48,48,66374128,1,2421546393
172,14,47,47,49394973,1,1817356895
173,14,40,40,56901656,1,2015819613
174,14,32,32,58734682,1,2059780428
175,14,41,41,36312450,1,1347420651
176,14,38,38,38159610,1,1368045915
177,14,40,40,42495667,1,1570829186
178,14,37,37,88960914,1,3291818375
179,14,40,40,34254059,1,1259449896
180,14,29,29,101640558,1,3634091847
181,14,35,35,119735515,1,4276812521
182,14,41,41,128199600,1,4711247767
183,14,39,39,96904645,1,3553717150
184,14,42,42,38824184,1,1448215637
185,14,37,37,37577103,1,1388871475
186,14,54,54,57493176,1,2087901163
187,14,41,41,71342225,1,2532355615
188,14,39,39,49035120,1,1731912506
189,14,43,43,99490170,1,3702956959
190,14,44,44,52089988,1,1901855651
191,14,43,43,33991152,1,1243532035
192,14,30,30,61497706,1,2244761592
193,14,42,42,58918027,1,2135236899
194,14,51,51,80806632,1,2870381049
195,14,34,34,84751273,1,3004808283
196,14,39,39,29670804,1,1074809674
197,14,46,46,34325733,1,1246362793
198,14,56,56,79474786,1,2913767583
199,14,40,40,40341518,1,1447795453
200,14,34,34,72825755,1,2638194853
201,14,31,31,60037856,1,2224148024
202,14,41,41,76064972,1,2725350095
203,14,40,40,72200123,1,2634926951
204,14,30,30,90998079,1,3366496469
205,14,39,39,45234053,1,1697918262
206,14,48,48,32566327,1,1182691644
207,14,46,46,63279303,1,2330745466
208,14,39,39,97754204,1,3600921890
209,14,43,43,84355347,1,3004696000
210,14,46,46,62122970,1,2238148595
211,14,43,43,163994012,1,6005939885
212,14,44,44,57961552,1,2121123753
213,14,43,43,56786997,1,2083201362
214,14,40,40,44622853,1,1629350525
215,14,48,48,67178481,1,2497094971
216,14,40,40,37562430,1,1383763771
217,14,43,43,66462255,1,2398021657
218,14,34,34,37179535,1,1313471730
219,14,48,48,98616000,1,3594798961
220,14,39,39,86650529,1,3229848722
221,14,44,44,80152284,1,2877520956
222,14,44,44,55542539,1,2018820842
223,14,44,44,76987159,1,2825720512
224,14,45,45,38868154,1,1466776533
225,14,46,46,30857656,1,1085029761
226,14,37,37,58899322,1,2160492080
227,14,34,34,68768145,1,2519615010
228,14,33,33,77773281,1,2890603380
229,14,40,40,37407851,1,1345925884
230,14,48,48,82919962,1,3130528034
231,14,47,47,50326127,1,1802824150
232,14,43,43,46961915,1,1673360757
233,14,40,40,54698042,1,1964823570
234,14,41,41,39917728,1,1472974902
235,14,43,43,88698820,1,3239041887
236,14,39,39,45483102,1,1642483242
237,14,39,39,85244019,1,3038110406
