NO,Solution Depth,Nodes In Memory,Max Nodes in Memory,Nodes Expanded,Optimal Solution,Real World Time
1,14,27684,27684,12827,1,5012088
2,14,27684,27684,12827,1,6328196
3,14,27684,27684,12827,1,6120589
4,14,27684,27684,12827,1,5546309
5,14,27684,27684,12827,1,4926706
6,14,27684,27684,12827,1,6547791
7,14,27684,27684,12827,1,5424670
8,14,27684,27684,12827,1,5492799
9,14,27684,27684,12827,1,5921463
10,14,27684,27684,12827,1,5021445

1,15,8114623,8114623,3478084,0,1932803635
2,15,8114623,8114623,3478084,0,1920458360
3,15,8114623,8114623,3478084,0,1910928346
4,15,8114623,8114623,3478084,0,1915771717
5,15,8114623,8114623,3478084,0,1917541928
6,15,8114623,8114623,3478084,0,1917451868
7,15,8114623,8114623,3478084,0,1904722082
8,15,8114623,8114623,3478084,0,1922876537
9,15,8114623,8114623,3478084,0,1917880531
10,15,8114623,8114623,3478084,0,1902772920

